ID venta,Vehículo vendido,Cliente,Fecha de venta,Método de pago,Fecha de entrega
1,HUZ00059bq87731,1,2023-01-15,Tarjeta de crédito,2023-01-18
2,dXc10152wZ20931,2,2023-02-01,Transferencia bancaria,2023-02-05
3,kon88808Mw35384,3,2023-03-10,Efectivo,2023-03-12
4,YCn09897Jr16462,4,2023-04-05,Financiación,2023-04-08
5,atS02370IN72676,5,2023-05-20,Transacción bancaria,2023-05-22
6,sVm24743cl68803,6,2023-06-12,Tarjeta de débito,2023-06-15
7,Bmz70233WW20802,7,2023-07-01,Tarjeta de crédito,2023-07-03
8,BnQ82906nw61358,8,2023-08-18,Transferencia bancaria,2023-08-20
9,ZHi19522MQ96601,9,2023-09-25,Efectivo,2023-09-27
10,LFE24454zn95591,10,2023-10-02,Financiación,2023-10-05
11,Pcy38673VN10677,11,2023-11-11,Transacción bancaria,2023-11-14
12,IYA42548db96244,12,2023-12-01,Tarjeta de débito,2023-12-03
13,Aam85595Yv84506,13,2024-01-08,Tarjeta de crédito,2024-01-10
14,AWA48273ZN88238,14,2024-02-14,Transferencia bancaria,2024-02-16
15,CCW82791wK70073,15,2024-03-22,Efectivo,2024-03-24
16,NKB53710aA78114,16,2024-04-01,Financiación,2024-04-03
17,jFe56432ld78072,17,2024-05-09,Transacción bancaria,2024-05-12
18,PPB90877GJ79490,18,2024-06-17,Tarjeta de débito,2024-06-20
19,yMb52512XD84426,19,2024-07-04,Tarjeta de crédito,2024-07-07
20,hTN89824sD94094,20,2024-08-11,Transferencia bancaria,2024-08-13
21,CYU70160gh69494,21,2024-09-19,Efectivo,2024-09-21
22,qWQ78369td83160,22,2024-10-28,Financiación,2024-10-30
23,rmB43512Qy62185,23,2024-11-05,Transacción bancaria,2024-11-08
24,ucv31060lb21750,24,2024-12-13,Tarjeta de débito,2024-12-16
25,DSM23769sX01689,25,2025-01-20,Tarjeta de crédito,2025-01-22
26,fhZ54966rz37390,26,2025-02-28,Transferencia bancaria,2025-03-02
27,AIW16969EI78116,27,2025-03-15,Efectivo,2025-03-17
28,MKE96062Hr11296,28,2025-04-03,Financiación,2025-04-06
29,njB62282WB93809,29,2025-05-10,Transacción bancaria,2025-05-13
30,yzW46960Cx75382,30,2025-06-25,Tarjeta de débito,2025-06-28